womurl, janitor, ptta
https://minesweeper.online/game/3148564282, 46, 45
https://minesweeper.online/game/2309689120, 44, 44
https://minesweeper.online/game/2324699492, 42, 42
https://minesweeper.online/game/2377016220, 51, 51
https://minesweeper.online/game/2665537598, 41, 41
https://minesweeper.online/game/2698494463, 44, 44
https://minesweeper.online/game/2871936290, 44, 46
https://minesweeper.online/game/3009897811, 42, 42
https://minesweeper.online/game/3354870299, 36, 35
https://minesweeper.online/game/3765572986, 47, 49
https://minesweeper.online/game/3959423500, 47, 46
https://minesweeper.online/game/4099918081, 51, 50
https://minesweeper.online/game/1655403212, 45, 45
https://minesweeper.online/game/1676583512, 50, 49
https://minesweeper.online/game/1687731155, 44, 44
https://minesweeper.online/game/1699704104, 35, 35
https://minesweeper.online/game/1741576766, 38, 38
https://minesweeper.online/game/1764268416, 35, 34
https://minesweeper.online/game/1780345724, 48, 48
https://minesweeper.online/game/1894242688, 38, 39
https://minesweeper.online/game/2018385097, 43, 42
https://minesweeper.online/game/2018972847, 55, 54
https://minesweeper.online/game/2037025442, 43, 43
https://minesweeper.online/game/2101396391, 48, 48
https://minesweeper.online/game/2158531859, 37, 38
https://minesweeper.online/game/2178321333, 49, 48
https://minesweeper.online/game/2178775019, 47, 47
https://minesweeper.online/game/2225860994, 43, 42
https://minesweeper.online/game/2298580971, 41, 41
https://minesweeper.online/game/2312168548, 53, 53
https://minesweeper.online/game/2312851621, 50, 49
https://minesweeper.online/game/2341288482, 55, 55
https://minesweeper.online/game/2342488357, 51, 50
https://minesweeper.online/game/2344004464, 49, 48
https://minesweeper.online/game/2365489643, 44, 43
https://minesweeper.online/game/2390844871, 56, 56
https://minesweeper.online/game/2517434483, 44, 44
https://minesweeper.online/game/2589971039, 45, 44
https://minesweeper.online/game/2689353873, 43, 43
https://minesweeper.online/game/2720630389, 54, 53
https://minesweeper.online/game/2740984246, 48, 48
https://minesweeper.online/game/2772072872, 38, 38
https://minesweeper.online/game/2787233643, 42, 42
https://minesweeper.online/game/2810417876, 50, 49
https://minesweeper.online/game/2818449338, 35, 35
https://minesweeper.online/game/2825878881, 52, 51
https://minesweeper.online/game/2835606284, 43, 42
https://minesweeper.online/game/2842005971, 40, 41
https://minesweeper.online/game/2859612065, 36, 36
https://minesweeper.online/game/2872533619, 44, 44
https://minesweeper.online/game/2908358517, 41, 41
https://minesweeper.online/game/2918493747, 47, 47
https://minesweeper.online/game/2926861408, 40, 40
https://minesweeper.online/game/2947900475, 42, 42
https://minesweeper.online/game/3009905465, 42, 42
https://minesweeper.online/game/3026848754, 38, 38
https://minesweeper.online/game/3059191789, 48, 47
https://minesweeper.online/game/3070153648, 54, 52
https://minesweeper.online/game/3085525969, 42, 41
https://minesweeper.online/game/3150620848, 36, 36
https://minesweeper.online/game/3313868466, 43, 43
https://minesweeper.online/game/3321182130, 48, 48
https://minesweeper.online/game/3340609360, 46, 44
https://minesweeper.online/game/3356605050, 46, 45
https://minesweeper.online/game/3358127785, 44, 43
https://minesweeper.online/game/3370903620, 35, 35
https://minesweeper.online/game/3389425506, 50, 50
https://minesweeper.online/game/3411470277, 30, 30
https://minesweeper.online/game/3430568386, 46, 46
https://minesweeper.online/game/3431620098, 47, 47
https://minesweeper.online/game/3430568386, 46, 46
https://minesweeper.online/game/3440644149, 54, 54
https://minesweeper.online/game/3445321162, 50, 50
https://minesweeper.online/game/3467216487, 45, 44
https://minesweeper.online/game/3469450320, 50, 48
https://minesweeper.online/game/3490820249, 49, 48
https://minesweeper.online/game/3503675203, 43, 42
https://minesweeper.online/game/3522387052, 32, 32
https://minesweeper.online/game/3542221744, 49, 49
https://minesweeper.online/game/3631177006, 44, 44
https://minesweeper.online/game/3765506538, 38, 38
https://minesweeper.online/game/3778926334, 50, 49
https://minesweeper.online/game/3784598445, 43, 43
https://minesweeper.online/game/3789733845, 39, 40
https://minesweeper.online/game/3796302523, 38, 38
https://minesweeper.online/game/3798488326, 48, 47
https://minesweeper.online/game/3825652602, 49, 48
https://minesweeper.online/game/3838941632, 43, 43
https://minesweeper.online/game/3846349840, 47, 46
https://minesweeper.online/game/3877304339, 41, 40
https://minesweeper.online/game/3934272496, 41, 41
https://minesweeper.online/game/3946123021, 46, 45
https://minesweeper.online/game/3994727443, 43, 42
https://minesweeper.online/game/4062916708, 52, 51
https://minesweeper.online/game/4134435997, 41, 41
https://minesweeper.online/game/4136800814, 42, 42
https://minesweeper.online/game/4137345544, 47, 47
https://minesweeper.online/game/4137679892, 33, 34
https://minesweeper.online/game/4184668014, 48, 48
https://minesweeper.online/game/4220851719, 44, 44
https://minesweeper.online/game/4253997328, 51, 50
https://minesweeper.online/game/4338267023, 41, 41
https://minesweeper.online/game/4356306166, 41, 40
https://minesweeper.online/game/4406515600, 42, 43
https://minesweeper.online/game/1076654910, 34, 35
https://minesweeper.online/game/1150983091, 35, 35
https://minesweeper.online/game/1429713744, 30, 30
https://minesweeper.online/game/1467610008, 50, 48
https://minesweeper.online/game/1475033774, 39, 38
https://minesweeper.online/game/1503013140, 36, 36
https://minesweeper.online/game/1508063924, 43, 42
https://minesweeper.online/game/1547409595, 40, 40
https://minesweeper.online/game/1548865681, 59, 56
https://minesweeper.online/game/1549107244, 37, 37
https://minesweeper.online/game/1551172076, 40, 39
https://minesweeper.online/game/1578534547, 33, 32
https://minesweeper.online/game/1582002221, 52, 50
https://minesweeper.online/game/1592352375, 55, 54
https://minesweeper.online/game/1594119081, 49, 49
https://minesweeper.online/game/1596664746, 40, 40
https://minesweeper.online/game/1596698584, 47, 45
https://minesweeper.online/game/1599981103, 44, 44
https://minesweeper.online/game/1609176775, 39, 37
https://minesweeper.online/game/1638024796, 38, 37
https://minesweeper.online/game/1645596277, 47, 45
https://minesweeper.online/game/1671743113, 41, 40
https://minesweeper.online/game/1688807206, 44, 42
https://minesweeper.online/game/1688834728, 38, 38
https://minesweeper.online/game/1694632729, 45, 44
https://minesweeper.online/game/1696937866, 38, 37
https://minesweeper.online/game/1708040165, 47, 45
https://minesweeper.online/game/1710766864, 45, 43
https://minesweeper.online/game/1717290141, 34, 34
https://minesweeper.online/game/1720396150, 31, 31
https://minesweeper.online/game/1723761295, 40, 41
https://minesweeper.online/game/1723804912, 47, 45
https://minesweeper.online/game/1725893668, 52, 50
https://minesweeper.online/game/1727257257, 38, 38
https://minesweeper.online/game/1738565950, 30, 31
https://minesweeper.online/game/1746643173, 41, 41
https://minesweeper.online/game/1748457330, 38, 38
https://minesweeper.online/game/1748526371, 41, 41
https://minesweeper.online/game/1755487916, 49, 47
https://minesweeper.online/game/1755829650, 50, 49
https://minesweeper.online/game/1756875414, 47, 44
https://minesweeper.online/game/1760446292, 32, 31
https://minesweeper.online/game/1762908195, 55, 52
https://minesweeper.online/game/1779026439, 39, 39
https://minesweeper.online/game/1792593798, 41, 40
https://minesweeper.online/game/1795752364, 48, 48
https://minesweeper.online/game/1797695864, 42, 40
https://minesweeper.online/game/1799782681, 38, 38
https://minesweeper.online/game/1805913170, 38, 38
https://minesweeper.online/game/1806592291, 49, 48
https://minesweeper.online/game/1810596256, 49, 48
https://minesweeper.online/game/1827098284, 50, 48
https://minesweeper.online/game/1850894333, 45, 45
https://minesweeper.online/game/1852124845, 45, 44
https://minesweeper.online/game/1855222173, 47, 44
https://minesweeper.online/game/1867564145, 40, 39
https://minesweeper.online/game/1869952467, 34, 34
https://minesweeper.online/game/1869960860, 36, 36
https://minesweeper.online/game/1869968249, 49, 48
https://minesweeper.online/game/1871416803, 50, 50
https://minesweeper.online/game/1877183941, 47, 47
https://minesweeper.online/game/1877906932, 46, 46
https://minesweeper.online/game/1883600760, 48, 48
https://minesweeper.online/game/1893279592, 40, 39
https://minesweeper.online/game/1897183644, 39, 39
https://minesweeper.online/game/1900275315, 51, 50
https://minesweeper.online/game/1900326948, 31, 32
https://minesweeper.online/game/1905972700, 43, 42
https://minesweeper.online/game/1931554171, 46, 45
https://minesweeper.online/game/1951730550, 37, 36
https://minesweeper.online/game/1969364281, 40, 40
https://minesweeper.online/game/2007913932, 42, 41
https://minesweeper.online/game/2007993427, 41, 40
https://minesweeper.online/game/2032113246, 47, 46
https://minesweeper.online/game/2061160406, 44, 44
https://minesweeper.online/game/2068611830, 45, 43
https://minesweeper.online/game/2086980254, 47, 45
https://minesweeper.online/game/2089689980, 47, 47
https://minesweeper.online/game/2095066533, 41, 41
https://minesweeper.online/game/2095149035, 45, 45
https://minesweeper.online/game/2095698884, 39, 38
https://minesweeper.online/game/2095961751, 39, 39
https://minesweeper.online/game/2097074851, 46, 46
https://minesweeper.online/game/2097794334, 45, 45
https://minesweeper.online/game/2098482358, 50, 48
https://minesweeper.online/game/2101658816, 48, 48
https://minesweeper.online/game/2107312871, 36, 36
https://minesweeper.online/game/2114680060, 53, 53
https://minesweeper.online/game/2118717536, 35, 34
https://minesweeper.online/game/2119499331, 47, 46
https://minesweeper.online/game/2155791734, 46, 45
https://minesweeper.online/game/2161479675, 43, 43
https://minesweeper.online/game/2162169874, 41, 41
https://minesweeper.online/game/2162382054, 30, 30
https://minesweeper.online/game/2164372566, 45, 43
https://minesweeper.online/game/2167624890, 36, 36
https://minesweeper.online/game/2185146019, 39, 37
https://minesweeper.online/game/2188562882, 47, 47
https://minesweeper.online/game/2193512682, 40, 39
https://minesweeper.online/game/2201358238, 37, 37
https://minesweeper.online/game/2211323066, 46, 46
https://minesweeper.online/game/2217770973, 47, 47
https://minesweeper.online/game/2217803323, 36, 35
https://minesweeper.online/game/2221681956, 45, 45
https://minesweeper.online/game/2234575458, 45, 45
https://minesweeper.online/game/2238785358, 32, 32
https://minesweeper.online/game/2245885992, 35, 36
https://minesweeper.online/game/2263214807, 40, 40
https://minesweeper.online/game/2263224703, 33, 32
https://minesweeper.online/game/2269774154, 42, 41
https://minesweeper.online/game/2271309280, 50, 48
https://minesweeper.online/game/2277968671, 36, 35
https://minesweeper.online/game/2306722714, 44, 43
https://minesweeper.online/game/2306917017, 50, 48
https://minesweeper.online/game/2307519017, 43, 44
https://minesweeper.online/game/2308806455, 44, 43
https://minesweeper.online/game/2311895783, 45, 43
https://minesweeper.online/game/2316285949, 36, 36
https://minesweeper.online/game/2323492964, 37, 37
https://minesweeper.online/game/2325917306, 46, 45
https://minesweeper.online/game/2333263443, 43, 43
https://minesweeper.online/game/2333345892, 43, 43
https://minesweeper.online/game/2342734691, 51, 49
https://minesweeper.online/game/2348295054, 47, 47
https://minesweeper.online/game/2365454057, 45, 45
https://minesweeper.online/game/2368515501, 46, 46
https://minesweeper.online/game/2372845301, 39, 38
https://minesweeper.online/game/2374554148, 36, 35
https://minesweeper.online/game/2377131285, 40, 40
https://minesweeper.online/game/2377895147, 49, 47
https://minesweeper.online/game/2384030000, 53, 50
https://minesweeper.online/game/2392980532, 44, 43
https://minesweeper.online/game/2393407073, 33, 33
https://minesweeper.online/game/2439493856, 39, 39
https://minesweeper.online/game/2448508920, 43, 42
https://minesweeper.online/game/2455093236, 37, 37
https://minesweeper.online/game/2455509395, 40, 39
https://minesweeper.online/game/2456154791, 40, 40
https://minesweeper.online/game/2458584271, 45, 45
https://minesweeper.online/game/2471079671, 42, 42
https://minesweeper.online/game/2487993425, 50, 47
https://minesweeper.online/game/2495209432, 52, 51
https://minesweeper.online/game/2499352206, 39, 39
https://minesweeper.online/game/2508067405, 39, 39
https://minesweeper.online/game/2514143606, 57, 54
https://minesweeper.online/game/2527842038, 43, 43
https://minesweeper.online/game/2542471338, 43, 43
https://minesweeper.online/game/2550988559, 40, 40
https://minesweeper.online/game/2562128761, 42, 42
https://minesweeper.online/game/2581101289, 46, 44
https://minesweeper.online/game/2586689060, 41, 40
https://minesweeper.online/game/2586914430, 46, 45
https://minesweeper.online/game/2595813274, 38, 38
https://minesweeper.online/game/2618928538, 43, 43
https://minesweeper.online/game/2622671409, 40, 40
https://minesweeper.online/game/2626202679, 43, 42
https://minesweeper.online/game/2646077532, 37, 37
https://minesweeper.online/game/2646578686, 38, 37
https://minesweeper.online/game/2649044269, 42, 41
https://minesweeper.online/game/2652138141, 47, 47
https://minesweeper.online/game/2656787246, 42, 41
https://minesweeper.online/game/2661781312, 39, 38
https://minesweeper.online/game/2665597696, 52, 49
https://minesweeper.online/game/2667991451, 44, 44
https://minesweeper.online/game/2671247173, 48, 47
https://minesweeper.online/game/2679359708, 41, 41
https://minesweeper.online/game/2682980780, 47, 47
https://minesweeper.online/game/2715950618, 54, 51
https://minesweeper.online/game/2717588324, 39, 39
https://minesweeper.online/game/2717614464, 46, 46
https://minesweeper.online/game/2720143102, 53, 50
https://minesweeper.online/game/2733645746, 35, 35
https://minesweeper.online/game/2740865447, 53, 53
https://minesweeper.online/game/2743796339, 48, 48
https://minesweeper.online/game/2756907072, 38, 38
https://minesweeper.online/game/2762948893, 53, 52
https://minesweeper.online/game/2763017651, 49, 49
https://minesweeper.online/game/2766685412, 46, 46
https://minesweeper.online/game/2768416970, 36, 36
https://minesweeper.online/game/2771098108, 43, 42
https://minesweeper.online/game/2772318790, 49, 48
https://minesweeper.online/game/2780146952, 33, 33
https://minesweeper.online/game/2782861252, 38, 38
https://minesweeper.online/game/2791396225, 38, 38
https://minesweeper.online/game/2806967039, 36, 36
https://minesweeper.online/game/2809284844, 46, 46
https://minesweeper.online/game/2809379431, 44, 42
https://minesweeper.online/game/2819336952, 55, 52
https://minesweeper.online/game/2821116406, 40, 40
https://minesweeper.online/game/2832796049, 40, 39
https://minesweeper.online/game/2835254986, 44, 43
https://minesweeper.online/game/2835576864, 50, 49
https://minesweeper.online/game/2837895742, 45, 44
https://minesweeper.online/game/2841951162, 54, 53
https://minesweeper.online/game/2841976970, 38, 38
https://minesweeper.online/game/2845501711, 48, 48
https://minesweeper.online/game/2857355877, 42, 42
https://minesweeper.online/game/2859068134, 38, 38
https://minesweeper.online/game/2864421918, 55, 54
https://minesweeper.online/game/2868179334, 43, 43
https://minesweeper.online/game/2869427487, 55, 54
https://minesweeper.online/game/2872442714, 41, 41
https://minesweeper.online/game/2875985909, 47, 47
https://minesweeper.online/game/2880142997, 40, 40
https://minesweeper.online/game/2882899413, 42, 41
https://minesweeper.online/game/2884841262, 39, 39
https://minesweeper.online/game/2885337025, 48, 47
https://minesweeper.online/game/2886739780, 51, 49
https://minesweeper.online/game/2896103413, 48, 46
https://minesweeper.online/game/2904005593, 39, 38
https://minesweeper.online/game/2913054016, 41, 40
https://minesweeper.online/game/2918491707, 46, 46
https://minesweeper.online/game/2920972418, 46, 46
https://minesweeper.online/game/3005155899, 47, 45
https://minesweeper.online/game/3005249741, 48, 48
https://minesweeper.online/game/3008208886, 42, 42
https://minesweeper.online/game/3008305484, 46, 45
https://minesweeper.online/game/3021714959, 52, 49
https://minesweeper.online/game/3024038648, 47, 45
https://minesweeper.online/game/3028233705, 38, 37
https://minesweeper.online/game/3033052840, 51, 51
https://minesweeper.online/game/3033638847, 31, 31
https://minesweeper.online/game/3034529802, 41, 41
https://minesweeper.online/game/3053233738, 49, 48
https://minesweeper.online/game/3059182701, 30, 30
https://minesweeper.online/game/3061842592, 47, 45
https://minesweeper.online/game/3065064428, 40, 40
https://minesweeper.online/game/3066952746, 37, 36
https://minesweeper.online/game/3070283845, 42, 41
https://minesweeper.online/game/3071654025, 48, 48
https://minesweeper.online/game/3076369009, 50, 48
https://minesweeper.online/game/3079529901, 47, 44
https://minesweeper.online/game/3083632876, 35, 34
https://minesweeper.online/game/3084017327, 50, 50
https://minesweeper.online/game/3084086240, 43, 41
https://minesweeper.online/game/3093128266, 45, 45
https://minesweeper.online/game/3095420469, 23, 23
https://minesweeper.online/game/3121048836, 45, 44
https://minesweeper.online/game/3121597381, 45, 45
https://minesweeper.online/game/3121754283, 42, 41
https://minesweeper.online/game/3122796682, 37, 38
https://minesweeper.online/game/3125670595, 47, 45
https://minesweeper.online/game/3128000146, 40, 40
https://minesweeper.online/game/3148619137, 48, 46
https://minesweeper.online/game/3150186957, 38, 37
https://minesweeper.online/game/3150395195, 40, 39
https://minesweeper.online/game/3150626292, 46, 46
https://minesweeper.online/game/3156343898, 27, 27
https://minesweeper.online/game/3158084172, 46, 43
https://minesweeper.online/game/3158390681, 45, 44
https://minesweeper.online/game/3163943363, 50, 46
https://minesweeper.online/game/3165318827, 43, 43
https://minesweeper.online/game/3167023181, 47, 46
https://minesweeper.online/game/3168565005, 46, 46
https://minesweeper.online/game/3173796626, 45, 42
https://minesweeper.online/game/3174583733, 51, 49
https://minesweeper.online/game/3185141828, 44, 44
https://minesweeper.online/game/3191294045, 46, 45
https://minesweeper.online/game/3192311022, 47, 47
https://minesweeper.online/game/3201225241, 43, 39
https://minesweeper.online/game/3201361928, 40, 39
https://minesweeper.online/game/3232909176, 53, 52
https://minesweeper.online/game/3249512374, 45, 45
https://minesweeper.online/game/3321218207, 43, 43
https://minesweeper.online/game/3324178779, 44, 44
https://minesweeper.online/game/3330497688, 39, 38
https://minesweeper.online/game/3333816316, 50, 50
https://minesweeper.online/game/3335363955, 58, 56
https://minesweeper.online/game/3335674698, 40, 40
https://minesweeper.online/game/3336957802, 33, 33
https://minesweeper.online/game/3340631006, 50, 49
https://minesweeper.online/game/3340658988, 38, 38
https://minesweeper.online/game/3341923958, 39, 38
https://minesweeper.online/game/3341961058, 33, 33
https://minesweeper.online/game/3342141283, 43, 43
https://minesweeper.online/game/3345017607, 35, 35
https://minesweeper.online/game/3345987924, 45, 45
https://minesweeper.online/game/3346645309, 49, 48
https://minesweeper.online/game/3346661111, 50, 50
https://minesweeper.online/game/3349301256, 34, 34
https://minesweeper.online/game/3355212272, 45, 45
https://minesweeper.online/game/3358278687, 46, 46
https://minesweeper.online/game/3363684466, 35, 34
https://minesweeper.online/game/3364631542, 49, 46
https://minesweeper.online/game/3376760464, 39, 39
https://minesweeper.online/game/3386659336, 51, 51
https://minesweeper.online/game/3401066239, 35, 35
https://minesweeper.online/game/3408252193, 31, 31
https://minesweeper.online/game/3408995751, 28, 28
https://minesweeper.online/game/3409106211, 39, 38
https://minesweeper.online/game/3409326994, 48, 48
https://minesweeper.online/game/3415767231, 49, 49
https://minesweeper.online/game/3418784812, 52, 49
https://minesweeper.online/game/3418784819, 41, 41
https://minesweeper.online/game/3440618266, 40, 40
https://minesweeper.online/game/3463677773, 48, 46
https://minesweeper.online/game/3469625095, 40, 40
https://minesweeper.online/game/3474849808, 46, 45
https://minesweeper.online/game/3478208983, 37, 37
https://minesweeper.online/game/3490712295, 40, 40
https://minesweeper.online/game/3490853777, 48, 46
https://minesweeper.online/game/3490880764, 34, 33
https://minesweeper.online/game/3500810737, 38, 38
https://minesweeper.online/game/3533776275, 53, 52
https://minesweeper.online/game/3541121165, 34, 34
https://minesweeper.online/game/3550610987, 38, 37
https://minesweeper.online/game/3554489904, 60, 58
https://minesweeper.online/game/3624198354, 44, 42
https://minesweeper.online/game/3753476544, 37, 37
https://minesweeper.online/game/3756941856, 40, 39
https://minesweeper.online/game/3765561282, 42, 40
https://minesweeper.online/game/3770802953, 46, 46
https://minesweeper.online/game/3772782793, 42, 41
https://minesweeper.online/game/3774306796, 36, 36
https://minesweeper.online/game/3776084380, 46, 45
https://minesweeper.online/game/3776123157, 49, 48
https://minesweeper.online/game/3777801857, 42, 42
https://minesweeper.online/game/3789796887, 37, 37
https://minesweeper.online/game/3789821300, 35, 34
https://minesweeper.online/game/3797595404, 47, 47
https://minesweeper.online/game/3822826763, 36, 36
https://minesweeper.online/game/3825665059, 43, 43
https://minesweeper.online/game/3830020034, 44, 42
https://minesweeper.online/game/3846305835, 45, 43
https://minesweeper.online/game/3846436232, 33, 33
https://minesweeper.online/game/3846888513, 52, 50
https://minesweeper.online/game/3852887671, 33, 33
https://minesweeper.online/game/3860134340, 51, 50
https://minesweeper.online/game/3860189392, 47, 47
https://minesweeper.online/game/3860789157, 33, 33
https://minesweeper.online/game/3863251981, 39, 39
https://minesweeper.online/game/3863296646, 44, 44
https://minesweeper.online/game/3870503781, 36, 34
https://minesweeper.online/game/3877238012, 39, 38
https://minesweeper.online/game/3903629008, 41, 41
https://minesweeper.online/game/3919605119, 50, 48
https://minesweeper.online/game/3922393255, 42, 41
https://minesweeper.online/game/3924107545, 41, 41
https://minesweeper.online/game/3924107545, 41, 41
https://minesweeper.online/game/3926347834, 51, 48
https://minesweeper.online/game/3927392009, 44, 43
https://minesweeper.online/game/3946101803, 47, 44
https://minesweeper.online/game/3946142522, 42, 41
https://minesweeper.online/game/3946159135, 48, 48
https://minesweeper.online/game/3947774692, 44, 45
https://minesweeper.online/game/3953614774, 39, 39
https://minesweeper.online/game/3960081352, 58, 57
https://minesweeper.online/game/3960355801, 46, 45
https://minesweeper.online/game/3991686204, 46, 46
https://minesweeper.online/game/3994197849, 46, 46
https://minesweeper.online/game/4012292457, 43, 43
https://minesweeper.online/game/4023762031, 41, 39
https://minesweeper.online/game/4052883486, 39, 39
https://minesweeper.online/game/4053006980, 42, 42
https://minesweeper.online/game/4060705623, 54, 52
https://minesweeper.online/game/4088330072, 29, 29
https://minesweeper.online/game/4088511736, 39, 39
https://minesweeper.online/game/4088620919, 34, 34
https://minesweeper.online/game/4092118855, 43, 43
https://minesweeper.online/game/4093597556, 50, 49
https://minesweeper.online/game/4094758040, 36, 36
https://minesweeper.online/game/4110017526, 44, 44
https://minesweeper.online/game/4110057592, 46, 45
https://minesweeper.online/game/4112637418, 41, 41
https://minesweeper.online/game/4113364303, 37, 37
https://minesweeper.online/game/4113380572, 36, 36
https://minesweeper.online/game/4127666663, 41, 41
https://minesweeper.online/game/4131409687, 44, 44
https://minesweeper.online/game/4134527756, 53, 51
https://minesweeper.online/game/4137624042, 43, 42
https://minesweeper.online/game/4137729744, 43, 43
https://minesweeper.online/game/4141683574, 53, 52
https://minesweeper.online/game/4144310460, 45, 45
https://minesweeper.online/game/4148874598, 42, 42
https://minesweeper.online/game/4155831959, 34, 33
https://minesweeper.online/game/4157840131, 99, 47
https://minesweeper.online/game/4157957573, 44, 43
https://minesweeper.online/game/4163443595, 48, 45
https://minesweeper.online/game/4174790558, 45, 44
https://minesweeper.online/game/4184791339, 52, 51
https://minesweeper.online/game/4199443432, 37, 37
https://minesweeper.online/game/4207367355, 41, 41
https://minesweeper.online/game/4209425329, 36, 36
https://minesweeper.online/game/4210579874, 53, 53
https://minesweeper.online/game/4213657252, 52, 50
https://minesweeper.online/game/4220931358, 48, 48
https://minesweeper.online/game/4245700144, 43, 42
https://minesweeper.online/game/4246322773, 42, 41
https://minesweeper.online/game/4253475103, 46, 45
https://minesweeper.online/game/4253980014, 43, 42
https://minesweeper.online/game/4272971193, 48, 46
https://minesweeper.online/game/4276696021, 40, 39
https://minesweeper.online/game/4277154420, 41, 41
https://minesweeper.online/game/4285728027, 52, 51
https://minesweeper.online/game/4285895305, 38, 38
https://minesweeper.online/game/4285922220, 46, 45
https://minesweeper.online/game/4287596092, 47, 45
https://minesweeper.online/game/4295014564, 50, 48
https://minesweeper.online/game/4303343779, 39, 39
https://minesweeper.online/game/4333883082, 37, 37
https://minesweeper.online/game/4333890134, 35, 35
https://minesweeper.online/game/4334012674, 49, 48
https://minesweeper.online/game/4334018990, 35, 35
https://minesweeper.online/game/4335699235, 44, 43
https://minesweeper.online/game/4351893431, 36, 35
https://minesweeper.online/game/4351932503, 33, 32
https://minesweeper.online/game/4356283471, 36, 36
https://minesweeper.online/game/4360030470, 56, 56
https://minesweeper.online/game/4360056996, 38, 38
https://minesweeper.online/game/4363089900, 39, 39
https://minesweeper.online/game/4375235720, 39, 39
https://minesweeper.online/game/4389912564, 41, 40
https://minesweeper.online/game/4402490198, 52, 50
https://minesweeper.online/game/4410469208, 48, 47
https://minesweeper.online/game/4416061725, 35, 36
https://minesweeper.online/game/4424866668, 40, 40
https://minesweeper.online/game/4432683589, 36, 35
https://minesweeper.online/game/4433033318, 47, 46
https://minesweeper.online/game/4433171408, 43, 43
https://minesweeper.online/game/4437178008, 42, 43
https://minesweeper.online/game/4452222557, 46, 46
https://minesweeper.online/game/4463616410, 41, 41
https://minesweeper.online/game/4469403177, 41, 41